Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-179.6545	-242.7648	63.11026	0.0107004	0.0210063	0.00528654	0.000517025	0.0044712	0.059334	0.00319723	0.0084892	0.00867374	0.0282605	0.0387532	0.0200615	0.00939663	0.000496933	0.000316227	0.0142751	0.0094307	0.0382328	0.0145477	0.000636237	0.00986653	0.0400726	0.000137518	0.00815827	0.0103405	0.00984457	0.00376066	0.0212186	0.0163739	0.00306964	0.00664606	0.00995662	0.0203694	0.00449105	0.0234419	0.010708	0.0395172	0.014174	0.00395526	0.0251246	0.0187126	0.00524139	0.0114407	0.0188056	0.00316392	0.00180923	0.0321855	0.00351774	0.063578	0.423305	2.36236	15.7287	284.273	4.085293	0.0160025	0.0314151	0.00790606	0.000773215	0.00668672	0.0887345	0.00478148	0.0126957	0.0129716	0.0422638	0.0579558	0.0300021	0.0140527	0.000743168	0.000472919	0.0213485	0.0141037	0.0571775	0.0217562	0.000951498	0.0147555	0.0599288	0.000205659	0.0122008	0.0154643	0.0147226	0.0056241	0.0317326	0.0244872	0.00459067	0.00993924	0.0148902	0.0304626	0.0067164	0.0350576	0.016014	0.0590983	0.0211974	0.00591513	0.0375741	0.0279848	0.00783854	0.0171096	0.028124	0.00473167	0.00270572	0.0481337	0.754482	0.245518	0.7544821	0.6686692
36	-174.7482	-239.0043	64.25603	0.066274	0.0164618	0.0207724	0.00349161	0.00173309	0.019975	0.00867071	0.0134624	0.0151649	0.000749275	0.0139634	0.00417788	0.00749515	0.00237061	0.0012065	0.0171847	0.0100561	0.0273321	0.00571745	0.00526622	0.00490589	0.0210423	0.00171416	0.00826212	0.0156747	0.00748203	0.00016283	0.000129118	0.0154875	0.00730152	0.0226074	0.0275038	0.00264293	0.00997951	0.00440044	0.0151272	0.0149329	0.0179449	0.00260024	0.0035311	0.00468809	0.0101213	0.00828001	0.0549635	0.0236884	0.00428442	0.0225565	0.0164354	0.134844	0.535209	1.86843	7.41598	60.8443	2.970597	0.111659	0.0277349	0.0349975	0.00588269	0.00291992	0.0336541	0.0146085	0.0226815	0.02555	0.00126238	0.0235256	0.00703891	0.0126279	0.00399402	0.00203273	0.0289528	0.0169426	0.0460493	0.00963279	0.00887256	0.00826547	0.0354523	0.00288803	0.0139201	0.0264088	0.0126058	0.000274338	0.000217539	0.0260934	0.0123017	0.0380891	0.0463385	0.00445283	0.0168135	0.00741388	0.0254864	0.025159	0.0302337	0.00438091	0.00594922	0.00789853	0.0170524	0.0139502	0.0926029	0.0399104	0.00721842	0.0380033	0.891684	0.108316	0.8916843	0.5935401
72	-179.1563	-242.696	63.53965	0.122737	0.0116427	0.0141271	0.0204402	0.00675981	0.02725	0.102061	0.0229801	0.0348327	0.043123	0.0220436	0.0455116	0.0654442	0.00405174	0.00199482	0.0974454	0.0252254	0.0307285	0.00579527	0.0560754	0.0101385	0.0659541	0.0108325	0.030406	0.0255594	0.00827685	0.00610513	0.000770066	0.0945333	0.053827	0.0277715	0.0104033	0.0613899	0.08213	0.00869163	0.0410614	0.0623215	0.0600915	0.012161	0.022653	0.00414289	0.0236543	0.00636485	0.0439007	0.0468672	0.0225782	0.0874499	0.0298132	0.180287	0.585969	1.70657	5.5467	33.5422	2.539999	0.0726122	0.00688791	0.00835771	0.0120926	0.00399916	0.0161214	0.0603804	0.0135952	0.0206073	0.0255119	0.0130412	0.0269251	0.0387174	0.00239705	0.00118016	0.0576496	0.0149236	0.0181793	0.00342853	0.0331747	0.00599804	0.039019	0.00640861	0.0179885	0.0151212	0.00489666	0.00361185	0.000455578	0.0559267	0.0318446	0.0164299	0.00615469	0.0363188	0.0485888	0.00514204	0.0242923	0.0368699	0.0355507	0.00719456	0.0134017	0.00245097	0.0139941	0.0037655	0.0259721	0.0277271	0.0133575	0.0517362	0.455478	0.544522	0.4554779	1.690306
108	-182.6721	-245.2044	62.53227	0.00734531	0.0445636	0.0347364	0.0557684	0.204502	0.0356389	0.0866328	0.0412614	0.13871	0.0295408	0.0610219	0.0968813	0.0563513	0.0651488	0.0161282	0.00947221	0.0111014	0.0200629	0.00780843	0.115862	0.0600299	0.215217	0.0445104	0.0332456	0.167098	0.0465161	0.103676	0.0566211	0.0215449	0.107456	0.173095	0.0377835	0.0467254	0.0274256	0.0167417	0.065154	0.00338696	0.0584435	0.0690524	0.112203	0.00253499	0.0674121	0.0840765	0.0333133	0.0645154	0.037581	0.0219049	0.103275	0.330463	0.707905	1.41262	3.02606	9.6829	1.641628	0.00251914	0.0152835	0.0119132	0.0191262	0.0701359	0.0122227	0.0297115	0.014151	0.0475719	0.0101313	0.020928	0.0332263	0.0193262	0.0223434	0.00553132	0.00324858	0.00380731	0.00688074	0.00267797	0.0397359	0.0205878	0.0738106	0.0152652	0.0114019	0.0573076	0.0159531	0.0355567	0.0194187	0.00738901	0.0368529	0.0593643	0.0129582	0.0160249	0.00940584	0.0057417	0.0223452	0.00116159	0.0200437	0.0236821	0.038481	0.000869399	0.0231196	0.0288348	0.0114251	0.0221261	0.0128887	0.00751249	0.211573	0.788427	0.2115732	2.915803
144	-176.3029	-240.4769	64.17406	0.0247435	0.0127224	0.00471691	0.0417094	0.221735	0.0285777	0.0375688	0.0450194	0.0348964	0.0323077	0.00585282	0.0295391	0.131211	0.00405801	0.0135993	0.0130901	0.0512651	0.02026	0.0105006	0.128102	0.0532352	0.0629468	0.0148841	0.0156499	0.0236425	0.0218242	0.0159027	0.0391743	0.000737125	0.0276708	0.0320952	0.00455133	0.00829079	0.0190417	0.019258	0.00855284	0.0137072	0.0140651	0.0282696	0.0384374	0.0482659	0.00671801	0.0617937	0.00318472	0.0316961	0.0113252	0.0721097	0.0589479	0.251394	0.650012	1.53843	3.97782	16.9641	2.047081	0.0155766	0.00800904	0.0029694	0.026257	0.139587	0.0179903	0.0236504	0.0283407	0.0219681	0.0203384	0.00368448	0.0185955	0.0826001	0.00255461	0.00856107	0.0082405	0.0322726	0.0127541	0.00661034	0.0806428	0.0335128	0.0396264	0.00936988	0.00985198	0.0148835	0.0137388	0.0100111	0.0246611	0.000464037	0.0174194	0.0202047	0.00286517	0.00521924	0.0119872	0.0121233	0.00538421	0.00862898	0.00885433	0.0177964	0.0241972	0.0303845	0.00422914	0.0389005	0.00200485	0.0199534	0.00712949	0.0453947	0.328374	0.671626	0.3283743	1.588505
180	-171.9235	-235.5706	63.64706	0.00353785	0.0220529	0.000916918	0.029616	0.018136	0.0133844	0.00711668	0.0113006	0.00196398	0.00727731	0.0254796	0.0132615	0.0173192	5.51244e-05	0.000620173	0.000925815	0.00637006	0.00301903	0.00856964	0.0144447	0.00266327	0.000581319	0.00424996	0.0136696	0.00980743	0.0018347	0.0191034	0.00160575	0.0173222	0.0114914	0.00595641	0.000745516	0.0013716	0.0165339	0.000936803	0.00457716	0.00351626	0.00144535	0.0076302	0.00965674	0.000208184	0.0006422	0.00116741	0.028332	0.0105845	0.00928744	0.000312994	0.00720365	0.0901827	0.472082	2.11828	11.0886	138.818	3.567019	0.00905746	0.0564589	0.00234745	0.0758217	0.046431	0.0342662	0.0182198	0.0289314	0.00502809	0.0186311	0.0652318	0.0339516	0.0443398	0.000141127	0.00158774	0.00237023	0.0163084	0.00772918	0.0219396	0.0369806	0.00681838	0.00148827	0.0108806	0.0349963	0.0251086	0.00469712	0.0489077	0.00411098	0.0443476	0.0294197	0.0152493	0.00190864	0.00351152	0.0423294	0.00239836	0.0117183	0.00900217	0.00370032	0.0195345	0.0247228	0.000532984	0.00164413	0.00298874	0.0725342	0.0270979	0.0237773	0.000801313	0.477127	0.522873	0.477127	0.3906011
216	-176.0704	-240.1527	64.08235	0.00268397	0.000721346	0.0504938	0.0181549	0.0103124	0.041808	0.00256752	0.00214205	0.00878368	0.00840299	0.0555823	0.00087517	0.0225564	0.00103598	0.014638	0.00189494	0.0317423	0.0222964	0.0142108	0.046461	0.00584104	0.0101088	0.00434623	0.0160762	0.0290152	0.0136377	0.00140496	0.027136	0.0352689	0.0365766	0.00777337	0.0061549	0.00949242	0.00780757	0.000222385	0.0021349	0.0036638	0.027764	0.016801	0.0126706	0.00611968	0.0126892	0.000351333	0.116603	0.00737567	0.0209438	0.000420272	0.0150759	0.129284	0.528224	1.89314	7.73492	66.331	3.033026	0.00337282	0.000906483	0.0634533	0.0228144	0.0129591	0.0525383	0.00322648	0.00269182	0.0110381	0.0105597	0.0698478	0.00109979	0.0283456	0.00130186	0.0183949	0.00238129	0.0398891	0.0280189	0.0178581	0.0583855	0.00734018	0.0127033	0.00546171	0.0202023	0.0364621	0.0171379	0.00176555	0.0341005	0.0443209	0.0459641	0.00976845	0.00773459	0.0119287	0.00981142	0.000279461	0.00268284	0.00460413	0.0348897	0.021113	0.0159226	0.00769033	0.0159459	0.000441505	0.146529	0.00926867	0.0263192	0.000528137	0.26284	0.73716	0.2628403	0.7957629
252	-184.9817	-247.2678	62.2862	0.0354639	0.0594087	0.00977154	0.0286231	0.0881638	0.0622372	0.0102449	0.0185542	0.0155695	0.0309723	0.0242946	0.0125724	0.0536827	0.00232905	0.0217685	0.0098798	0.0389846	0.0149626	0.0394802	0.0132712	0.0350183	0.0348397	0.142151	0.0287261	0.0803888	0.0161936	0.00939599	0.0244808	0.0412344	0.0441711	0.00918013	0.036003	0.0326093	0.0121929	0.00341418	0.0184351	0.0347469	0.0197683	0.0258786	0.0264949	0.014787	0.0130267	0.00159586	0.018137	0.0397964	0.0231381	0.00185053	0.00294441	0.0582941	0.412	2.42718	17.1544	339.626	4.213933	0.0257378	0.0431157	0.00709167	0.0207731	0.0639847	0.0451685	0.00743523	0.0134657	0.0112995	0.022478	0.0176317	0.00912439	0.0389601	0.0016903	0.0157984	0.00717024	0.028293	0.0108591	0.0286527	0.00963157	0.0254144	0.0252848	0.103166	0.0208479	0.058342	0.0117525	0.00681912	0.0177669	0.0299258	0.0320571	0.00666246	0.0261291	0.0236661	0.00884895	0.00247783	0.0133792	0.0252175	0.0143468	0.0187813	0.0192286	0.0107316	0.00945407	0.00115819	0.0131629	0.0288821	0.0167924	0.00134302	0.682632	0.317368	0.6826317	1.37789
288	-185.2384	-248.6902	63.45179	0.0218874	0.0334951	0.0170614	0.00880422	0.0337148	0.0400124	0.025885	0.00176612	0.074068	0.0239854	0.0133318	0.0322244	0.0620716	0.0203301	0.0133689	0.0193755	0.024035	0.0226078	9.66635e-05	0.0225381	0.00357748	0.0997631	0.0191553	0.029184	0.0867554	0.0191969	0.0144798	0.00374185	0.00330692	0.027674	0.00497512	0.0146236	0.0393417	0.020095	0.0514358	0.0158656	0.00366497	0.00612641	0.00579165	0.0194756	0.0283935	0.00778089	0.00175235	0.0217984	0.0169287	0.0069932	0.0242731	0.00944132	0.102901	0.491918	2.03286	9.71811	105.917	3.371424	0.0197752	0.0302627	0.0154149	0.00795459	0.0304613	0.0361511	0.023387	0.00159569	0.0669202	0.0216708	0.0120452	0.0291147	0.0560815	0.0183682	0.0120787	0.0175057	0.0217156	0.020426	8.73352e-05	0.0203631	0.00323225	0.0901357	0.0173068	0.0263676	0.0783833	0.0173443	0.0130825	0.00338075	0.0029878	0.0250034	0.004495	0.0132124	0.0355451	0.0181558	0.0464722	0.0143345	0.00331129	0.00553519	0.00523274	0.0175962	0.0256535	0.00703001	0.00158324	0.0196948	0.0152951	0.00631834	0.0219307	0.77846	0.22154	0.7784596	1.10681
324	-177.3059	-240.5473	63.24141	0.011673	0.0067872	0.0207207	0.0205401	0.0855198	0.0281532	0.00690466	0.0860395	0.0395447	0.0303745	0.00491137	0.0536002	0.058416	0.0246405	0.0128821	0.0171317	0.00159521	0.022142	0.0161246	0.0189454	0.0253396	0.0103748	0.00434123	0.00907705	0.024055	0.0137003	0.0151777	0.0199213	0.0372599	0.00536325	0.00941917	0.013807	0.0181589	0.0121184	0.012601	0.00123022	0.00110765	0.00563197	0.00348534	0.012732	0.0125945	0.026833	0.0124207	0.010705	0.0258783	0.0209248	0.0042261	0.00554214	0.0793571	0.453619	2.20449	12.6013	180.436	3.756614	0.0124827	0.00725803	0.0221581	0.0219649	0.0914522	0.0301061	0.00738363	0.0920081	0.0422879	0.0324816	0.00525206	0.0573184	0.0624683	0.0263498	0.0137758	0.0183201	0.00170586	0.023678	0.0172432	0.0202596	0.0270974	0.0110945	0.00464238	0.00970672	0.0257237	0.0146507	0.0162305	0.0213032	0.0398446	0.0057353	0.0100726	0.0147648	0.0194186	0.012959	0.0134752	0.00131556	0.00118448	0.00602265	0.00372712	0.0136152	0.0134682	0.0286944	0.0132823	0.0114476	0.0276734	0.0223764	0.00451926	0.942356	0.0576438	0.9423562	0.9351306
