Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-172.1505	-236.0989	63.94849	0.00312356	0.00965863	0.0018565	0.00255959	0.0615435	0.0282317	0.00465924	0.0296097	0.012951	0.0106544	0.0210418	0.0227256	0.0406821	0.00543363	0.00712728	0.0151388	0.0758291	0.0238235	0.0328957	0.026171	0.018992	0.022047	0.00792668	0.0387677	0.0126207	0.00396425	0.00410317	0.00141772	0.134681	0.00898785	0.00725839	0.00102059	0.0100431	0.035358	0.0159058	0.018152	0.00705776	0.00834503	0.00300808	0.00493981	0.0553434	0.00125603	0.0560591	0.0750326	0.0248284	0.0171566	0.0247019	0.017367	0.138519	0.539718	1.85282	7.21923	57.5804	2.930731	0.00296159	0.00915778	0.00176023	0.00242687	0.0583521	0.0267677	0.00441764	0.0280743	0.0122794	0.0101019	0.0199507	0.0215472	0.0385725	0.00515187	0.0067577	0.0143538	0.071897	0.0225882	0.0311899	0.0248139	0.0180072	0.0209037	0.00751564	0.0367574	0.0119662	0.00375868	0.0038904	0.00134421	0.127697	0.00852179	0.00688201	0.000967671	0.00952233	0.0335245	0.015081	0.0172108	0.00669178	0.0079123	0.00285209	0.00468366	0.0524736	0.0011909	0.0531522	0.0711418	0.023541	0.016267	0.023421	0.425473	0.574527	0.4254728	1.054691
36	-175.9092	-240.4796	64.57039	0.0163607	0.0179229	0.000847195	0.0241544	0.0475625	0.0509234	0.0112718	0.0130775	0.00523615	0.0021167	0.0171579	0.0139486	0.0224978	0.0132596	0.00988007	0.0148909	0.00215734	0.0102167	0.00704674	0.0249883	0.00423104	0.0521826	0.0379591	0.0151921	0.00869841	0.0408093	0.000263964	0.00740734	0.0751023	0.0121678	0.00158874	0.0217118	0.000157709	0.0360026	0.0378348	0.0158889	0.0306569	0.00444611	0.013261	0.00742579	0.0208914	0.0344956	0.0269377	0.0510841	0.0245487	0.0265544	0.0101544	0.0351896	0.195471	0.60094	1.66406	5.11585	28.4175	2.420115	0.0173465	0.0190028	0.000898241	0.0256098	0.0504282	0.0539916	0.0119509	0.0138655	0.00555164	0.00224423	0.0181917	0.0147891	0.0238534	0.0140585	0.0104754	0.0157882	0.00228732	0.0108323	0.00747132	0.0264939	0.00448597	0.0553267	0.0402462	0.0161075	0.00922251	0.0432682	0.000279869	0.00785365	0.0796274	0.0129009	0.00168447	0.02302	0.000167212	0.0381718	0.0401144	0.0168462	0.0325041	0.004714	0.01406	0.00787321	0.0221502	0.036574	0.0285608	0.054162	0.0260278	0.0281543	0.0107662	0.197576	0.802424	0.197576	0.9431717
72	-176.2218	-239.6385	63.41668	0.00508606	0.00557891	0.0235678	0.00493051	0.042577	0.0302585	0.0289356	0.00280986	0.00657733	0.00693591	0.045608	0.0123266	0.0464367	0.00310575	0.0110463	0.0124435	0.0125357	0.0186006	0.0993214	0.060813	0.0365767	0.0271465	0.0440608	0.0653241	0.0296567	0.0197961	0.00427232	0.113998	0.016939	0.0386947	0.0111993	0.0654857	0.0187936	0.00649148	0.00127447	0.0105124	0.0489133	0.0514019	0.0143665	0.00723921	0.0154583	0.0048938	0.0240218	0.0381916	0.0127007	0.0157595	0.00067496	0.0108093	0.10992	0.502151	1.99143	9.09749	92.5129	3.273584	0.00415752	0.0045604	0.0192651	0.00403038	0.034804	0.0247344	0.023653	0.00229688	0.00537654	0.00566966	0.0372816	0.0100762	0.037959	0.00253875	0.0090296	0.0101717	0.0102471	0.0152048	0.0811889	0.0497107	0.0298991	0.0221905	0.0360168	0.0533983	0.0242424	0.0161821	0.00349235	0.0931856	0.0138465	0.0316304	0.00915467	0.0535304	0.0153626	0.00530636	0.0010418	0.00859323	0.0399835	0.0420177	0.0117437	0.00591759	0.0126361	0.00400036	0.0196363	0.0312191	0.010382	0.0128824	0.000551736	0.252057	0.747943	0.2520568	1.223338
108	-181.6109	-245.9953	64.38433	0.0170928	0.0328572	0.00416935	0.00634891	1.88886e-05	0.0390668	0.0135356	0.00885504	0.00767889	0.00264603	0.0204099	0.00834605	0.0511606	0.00238708	0.00194896	0.0244098	0.00280992	0.0349712	0.0446365	0.0233166	0.0173073	0.0470072	0.00429921	0.0133147	0.0718569	0.0101187	0.000920764	0.0286329	0.0139547	0.0487464	0.0901838	0.00298123	0.00116886	0.00972384	0.0218984	0.0435306	0.0274739	0.00438138	0.00674011	0.010312	0.0185566	0.0261601	0.174839	0.0502503	0.0305801	0.00906017	0.00846519	0.0360312	0.197737	0.603105	1.65809	5.05721	27.7537	2.403025	0.0150051	0.0288441	0.00366012	0.00557347	1.65816e-05	0.0342953	0.0118824	0.0077735	0.00674101	0.00232285	0.0179171	0.00732668	0.044912	0.00209552	0.00171091	0.0214285	0.00246673	0.0306999	0.0391847	0.0204688	0.0151934	0.0412658	0.00377411	0.0116885	0.0630804	0.00888282	0.000808304	0.0251357	0.0122503	0.0427927	0.0791689	0.00261711	0.0010261	0.00853619	0.0192238	0.0382138	0.0241183	0.00384625	0.00591689	0.00905252	0.0162902	0.022965	0.153485	0.0441128	0.0268451	0.00795358	0.00743127	0.414344	0.585656	0.414344	1.139131
144	-185.9338	-250.9734	65.03964	0.0233354	0.0568049	0.0170491	0.0237752	0.0164658	0.0587674	0.0612098	0.0190856	0.06307	0.00283342	0.0101311	0.027591	0.0375865	0.0021305	0.00942249	0.000812263	0.0160829	0.0126711	0.0496331	0.063796	0.00285702	0.0249589	0.0232926	0.0137321	0.0891388	0.00259179	0.0115639	0.0020641	0.00103436	0.0196103	0.0127975	0.000334042	0.0206073	0.000781567	0.0149805	0.00204991	0.0307554	0.00323828	0.00572682	0.0222542	0.0245304	0.000956627	0.0456967	0.0126579	0.0388637	0.0319462	0.0097882	0.0770082	0.286392	0.676989	1.47713	3.49171	12.9856	1.853835	0.022415	0.0545644	0.0163767	0.0228374	0.0158163	0.0564494	0.0587955	0.0183328	0.0605823	0.00272166	0.0097315	0.0265027	0.036104	0.00204646	0.00905084	0.000780225	0.0154485	0.0121713	0.0476754	0.0612797	0.00274433	0.0239744	0.0223739	0.0131905	0.0856229	0.00248957	0.0111078	0.00198269	0.000993558	0.0188368	0.0122927	0.000320866	0.0197945	0.00075074	0.0143896	0.00196906	0.0295424	0.00311055	0.00550094	0.0213764	0.0235629	0.000918895	0.0438943	0.0121586	0.0373308	0.0306861	0.00940212	0.79923	0.20077	0.79923	1.041062
180	-187.772	-251.3953	63.62334	0.0045097	0.02785	0.0317259	0.0842754	0.12691	0.0187802	0.00778153	0.0373017	0.0428382	0.0116921	0.0356575	0.0293883	0.0227147	0.0021467	0.00779571	0.0101526	0.00809445	0.0407408	0.0647218	0.0493747	0.0299652	0.00835866	0.00328947	0.00150627	0.00117267	0.0395033	0.0155064	0.0758281	0.0480688	0.0492056	0.0446043	0.02206	0.0189268	0.0110346	0.000702397	0.00814753	0.00332557	0.00167372	0.00392462	0.0251023	0.00802402	0.00160327	0.0537188	0.00949691	0.0495739	0.0176642	0.0879813	0.0164733	0.134996	0.535397	1.86777	7.40765	60.7043	2.968931	0.00345724	0.0213505	0.0243219	0.0646075	0.0972919	0.0143973	0.0059655	0.0285963	0.0328408	0.00896344	0.0273359	0.0225298	0.0174136	0.00164571	0.00597638	0.00778326	0.0062054	0.0312329	0.0496173	0.0378519	0.0229721	0.00640795	0.00252179	0.00115474	0.000898998	0.0302842	0.0118876	0.0581316	0.0368507	0.0377222	0.0341947	0.0169117	0.0145097	0.00845938	0.000538475	0.00624609	0.00254946	0.00128311	0.00300871	0.0192441	0.00615141	0.0012291	0.0411821	0.00728056	0.0380046	0.0135418	0.0674486	0.45432	0.54568	0.4543199	1.304421
216	-184.2344	-248.2385	64.00412	0.000293548	0.00922809	0.00844527	0.0245728	0.0556743	0.00935146	0.0225462	0.00392126	0.0143008	0.0175414	0.00563607	0.0448915	0.0179892	0.00129307	0.00141208	0.0135507	0.0122764	0.0162496	0.0106677	0.0581547	0.0130496	0.0459485	0.014596	0.008741	0.023152	0.00969831	0.00184424	0.126742	0.0114915	0.00272706	0.0252225	0.00951854	0.0134093	0.0345054	0.00123574	0.00451314	0.0237648	0.0090417	0.0393204	0.0083536	0.041234	0.00825967	0.0190701	0.0164781	0.00485909	0.0187715	0.0113087	0.0151301	0.12951	0.528513	1.8921	7.72138	66.0932	3.03043	0.00032804	0.0103124	0.00943761	0.0274602	0.0622161	0.0104503	0.0251954	0.00438201	0.0159811	0.0196026	0.00629832	0.0501664	0.0201029	0.00144501	0.001578	0.015143	0.013719	0.018159	0.0119212	0.064988	0.014583	0.0513475	0.0163111	0.00976808	0.0258725	0.0108379	0.00206094	0.141634	0.0128418	0.0030475	0.0281862	0.010637	0.0149849	0.0385599	0.00138094	0.00504344	0.0265573	0.0101041	0.0439407	0.00933516	0.0460791	0.0092302	0.0213109	0.0184143	0.00543005	0.0209772	0.0126375	0.570394	0.429606	0.5703937	0.8948528
252	-183.7604	-247.3536	63.59319	0.000635077	0.00897216	0.0218972	0.0230839	0.0186563	0.0185709	0.00056475	0.00259234	0.017086	0.0528712	0.0159145	0.0115503	0.0218561	0.00303149	0.00153426	0.00590249	0.00733483	0.0107298	0.000597376	0.0200251	0.00522751	0.0991909	0.0065624	0.0312376	0.0157004	0.00482499	0.0133037	0.0762174	0.0107772	0.00153972	0.00525687	0.0242738	0.00450705	0.00546159	0.0103843	0.0085503	0.00578411	0.00958427	0.00392383	0.0472126	0.021136	0.0147421	0.00331882	0.0114199	0.00688179	0.0211597	0.00479609	0.00723981	0.0904032	0.472442	2.11666	11.0616	138.125	3.563399	0.00086243	0.0121841	0.0297363	0.0313478	0.0253351	0.0252191	0.000766927	0.00352038	0.0232026	0.0717987	0.0216117	0.0156853	0.0296804	0.00411674	0.00208351	0.00801555	0.00996065	0.0145709	0.000811232	0.027194	0.00709892	0.1347	0.00891169	0.0424205	0.021321	0.0065523	0.0180663	0.103503	0.0146353	0.00209093	0.0071388	0.0329637	0.00612054	0.00741681	0.0141018	0.0116112	0.00785478	0.0130154	0.00532853	0.0641144	0.0287025	0.0200196	0.00450693	0.0155081	0.00934543	0.0287347	0.00651305	0.356234	0.643766	0.3562336	0.7363809
288	-178.4659	-241.8226	63.35673	0.00842253	0.0088188	0.00489996	0.0024294	0.00780527	0.0211242	0.00503002	0.0042622	0.00919637	0.00127497	0.0157275	0.000754642	0.0155748	0.00067576	0.00245872	0.00167437	0.000899725	0.00188025	0.00028219	0.0160119	0.00545501	0.00843737	0.00279415	0.00379552	0.0130172	0.00136045	0.0210569	0.00611497	0.00446454	0.0119055	0.00212426	0.00315317	0.00843267	0.00779216	0.00214852	0.00501716	0.00742456	0.00360195	0.0018156	0.00359101	0.00501073	0.00452201	0.000147911	0.00267741	0.00232669	0.00866697	0.00273324	0.00564163	0.0800487	0.454849	2.19853	12.4924	177.254	3.743748	0.0302109	0.0316323	0.0175757	0.00871403	0.0279968	0.0757706	0.0180422	0.0152881	0.0329866	0.00457323	0.0564134	0.00270684	0.0558653	0.0024239	0.0088192	0.00600582	0.00322724	0.00674431	0.00101219	0.0574332	0.0195666	0.0302641	0.0100224	0.0136142	0.0466915	0.0048798	0.0755294	0.0219339	0.0160139	0.042704	0.00761952	0.0113102	0.0302473	0.0279498	0.00770657	0.0179961	0.0266313	0.0129199	0.00651241	0.0128807	0.0179731	0.0162201	0.000530545	0.00960363	0.00834565	0.0310877	0.00980389	0.824049	0.175951	0.824049	0.2787911
324	-175.8377	-240.2019	64.36423	0.00407994	0.00481174	0.00938051	0.00422532	0.0140113	0.0159576	0.0190004	0.00337176	0.0149389	0.0016338	0.0121672	0.0101371	0.0326809	0.000988732	0.00313245	0.0125221	0.00270049	0.00286066	0.00230144	0.020816	0.0100159	0.0168801	0.00522551	0.014767	0.0102244	0.00734158	0.00364489	0.0325148	0.00435485	0.00340743	0.0131824	0.0023191	0.0148348	0.0150971	0.0095562	0.000602098	9.25701e-05	0.019525	0.00487066	0.00550539	0.0103334	0.0053576	0.00403861	0.0027249	0.00266135	0.0181049	0.00210392	0.0189547	0.144557	0.54695	1.82832	6.91769	52.7573	2.867475	0.00946612	0.011164	0.0217643	0.00980342	0.0325084	0.0370242	0.0440839	0.00782302	0.0346606	0.00379068	0.0282299	0.0235196	0.075825	0.00229402	0.00726779	0.0290533	0.00626557	0.0066372	0.00533971	0.0482965	0.0232386	0.0391646	0.012124	0.0342617	0.0237222	0.0170336	0.00845673	0.0754395	0.010104	0.00790577	0.0305852	0.00538068	0.0344191	0.0350276	0.0221719	0.00139696	0.000214777	0.0453012	0.0113007	0.0127734	0.0239752	0.0124305	0.00937023	0.00632221	0.00617476	0.0420062	0.00488143	0.130471	0.869529	0.1304714	0.4310048
